				Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	
				matrix blank	STD0.05	STD0.08	STD0.12	STD0.2	STD0.75	STD2.25	matrix blank	0.4	0.2	0.15	0.1	0.05	matrix blank	
Raw.RawIntensityPerRun	0	Fe 238.204 {141} (Axial)	Y [cps]	43.666833000665292	482.45690659212664	691.58966033966033	1114.8268884892086	1864.3397294956358	6809.07705376774	20824.344690913938	131.66833166833169	8815.4969884529637	4395.1919232307082	3299.431818181818	2455.2748669328012	1136.8619817661543	60.217065868263489	
Raw.RawIntensityPerRun	1	Fe 238.204 {141} (Axial)	Y [cps]	38.70118619218988	481.93014460882307	698.14051307679483	1109.3978891996271	1875.0374737683619	6785.34274529402	20547.383459772409	120.02074170331866	8841.5493543663488	4364.2135786421359	3271.3680014646161	2452.2689068637242	1148.3199327473696	55.404921364787469	
Raw.RawIntensityPerRun	2	Fe 238.204 {141} (Axial)	Y [cps]	37.135145941623364	492.79134212103054	701.94502766113453	1112.3275344931017	1878.7536224642749	6804.2562052307185	20673.788052891021	96.255247900839549	8821.5105830670927	4361.6043185828921	3273.2152375241521	2407.1184026389446	1146.9976837965739	54.298981426003479	
Raw.RawIntensityPerRun	0	Fe 239.562 {141} (Axial)	Y [cps]	35.969727212242105	324.01791953678753	458.03987678987676	713.69362843058877	1186.4485475381437	4282.3722433206749	13033.025662803091	94.1933066933068	5500.8859938105225	2732.0655071304814	2052.4579587079584	1534.6785595475712	713.64044719504886	48.089238190286096	
Raw.RawIntensityPerRun	1	Fe 239.562 {141} (Axial)	Y [cps]	38.265943622550935	320.45931627349057	447.82608695652175	719.78209481954991	1188.3806335565105	4271.8994669332	12836.483912291209	75.642659602825461	5506.9638578274762	2716.6991634169917	2044.4419479395513	1525.7056787164636	721.56120988147541	46.273157403705113	
Raw.RawIntensityPerRun	2	Fe 239.562 {141} (Axial)	Y [cps]	35.721128215380531	326.88402902603013	458.14795374258472	714.20507565153639	1192.90871390027	4281.3593203398295	12919.437366773249	81.550713048114062	5525.27830471246	2722.7820231079149	2042.0164567925913	1516.5017326402772	720.95164300473243	45.527927568071391	
Raw.RawIntensityPerRun	0	Fe 240.488 {140} (Axial)	Y [cps]	23.249334664005232	264.07815047752149	381.16674991674984	599.07907007727181	1014.5537677393563	3667.1809414351392	11204.82364108713	82.490426240426359	4748.0512295763865	2381.6994035719053	1768.477355977356	1316.7082501663342	615.2883143674718	35.726463739188375	
Raw.RawIntensityPerRun	1	Fe 240.488 {140} (Axial)	Y [cps]	18.838298014127759	258.67569638811165	370.73754789272039	598.16345385537352	1003.609973018887	3666.7853573213388	11072.259516204165	66.744135679061742	4768.0170061235358	2353.1084391560844	1759.6718760402105	1314.4535150788893	629.46547476361707	32.624450219912092	
Raw.RawIntensityPerRun	2	Fe 240.488 {140} (Axial)	Y [cps]	22.611788617886077	269.86177684574909	379.75738185696196	594.67898087049252	1007.9423570167548	3657.3025987006495	11141.164152011723	62.751982540317272	4764.4768370607035	2363.5063929677358	1755.6715970417749	1297.2311075569769	622.54632406851965	29.818670527927566	
Raw.RawIntensityPerRun	0	Sc 424.683 {79} (Axial)	Y [cps]	38152.372338656016	38189.773218861272	38548.083166833167	37977.107897015725	38671.147311613036	38580.129005929775	38562.256444844126	38357.117882117891	38625.71960999634	38343.633379981336	38593.0944055944	38281.478709248171	37638.436231450061	38112.233865602131	
Raw.RawIntensityPerRun	1	Sc 424.683 {79} (Axial)	Y [cps]	37993.99198653872	38443.916183526591	38256.413459936695	37896.110084565182	38721.934229372768	38552.113526570043	38206.709173487725	38571.408936425432	38769.36484957402	38095.052994700527	38434.924439118564	38158.44900472671	38040.515964176324	38132.909336265489	
Raw.RawIntensityPerRun	2	Sc 424.683 {79} (Axial)	Y [cps]	37819.384746101561	38407.795752613005	38225.536142771452	37989.250066653331	38831.572066220309	38502.829835082455	38288.527511324282	38426.966713314672	38615.631656017038	38271.349432291143	38396.476697314953	38081.96929561509	38044.668149703393	38032.864406497567	
Raw.RawIntensityPerRun	0	Fe 259.940 {130} (Axial)	Y [cps]	32.713739188289992	367.11132741006952	523.50982350982349	818.4202637889689	1356.627690052635	4870.331967486175	14671.93328670397	90.994422244422253	6136.7217397091617	3030.7127149140342	2275.6888944388943	1705.4994178310044	786.87945032275229	43.440202927478367	
Raw.RawIntensityPerRun	1	Fe 259.940 {130} (Axial)	Y [cps]	36.437508330001265	360.97227775556439	514.34907546226873	813.10344253562391	1353.5733320009326	4860.5176578377468	14517.027683503025	78.6268825803013	6140.5397197816828	3021.3791120887909	2260.9097263830636	1686.170611144398	793.92853575709114	38.665783686525288	
Raw.RawIntensityPerRun	2	Fe 259.940 {130} (Axial)	Y [cps]	41.762461681993955	376.00276279874856	523.52654469106187	809.54434113177376	1353.3922087871824	4854.8788105947033	14629.286154409805	77.631447421031567	6131.7683373269447	3046.7319282123	2251.4449663535215	1657.1308976409439	793.88497300539893	45.889920777578027	
Raw.RawIntensityAverage	0	Fe 238.204 {141} (Axial)	Y [cps]	39.83438837815951	485.72613110732681	697.22506702586327	1112.1841040606457	1872.7102752427575	6799.558668097493	20681.838734525791	115.9814404241633	8826.1856419621345	4373.6699401519118	3281.3383523901953	2438.2207254784903	1144.0598661033662	56.640322886351477	
Raw.RawIntensityAverage	0	Fe 239.562 {141} (Axial)	Y [cps]	36.652266350057857	323.78708827876943	454.67130582966109	715.89359963389177	1189.245964998308	4278.5436768645677	12929.648980622516	83.795559781415434	5511.0427187834866	2723.8488978851292	2046.3054544800336	1525.628656968104	718.71776669375231	46.630107720687533	
